Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
LA,Da Silva Ribeiro,Leonardo,D,"$150,000","$155,000.00",2015
TOR,Bendik,Joe,GK,"$150,000","$157,375.00",2015
TOR,Warner,Collen,M-F,"$129,937","$157,437.00",2015
NE,Alston,Kevin,D,"$140,000","$158,333.33",2015
SJ,Lenhart,Steven,F,"$150,000","$159,083.33",2015
DAL,Castillo,Fabian,F,"$145,000","$160,000.00",2015
SEA,Pineda,Gonzalo,M,"$160,000","$160,000.00",2015
DAL,Pereira,Michel,M/D,"$140,000","$161,500.00",2015
RSL,Silva,Luis,M,"$131,384","$162,634.00",2015
CLB,Trapp,Wil,M,"$137,500","$164,500.00",2015
DC,Arrieta,Jairo,F,"$150,000","$165,000.00",2015
SEA,Frei,Stefan,GK,"$165,000","$165,000.00",2015
SEA,Gonzalez,Leonardo,D,"$165,000","$165,000.00",2015
VAN,Rodriguez,Diego,D,"$124,000","$165,750.00",2015
ORL,Larin,Cyle,F,"$125,000","$167,000.00",2015
VAN,Teibert,Russell,M,"$100,000","$167,500.00",2015
SEA,Neagle,Lamar,M,"$165,000","$167,833.33",2015
DAL,Cirigliano,Ezequiel,M,"$125,000","$167,999.92",2015
POR,Chara,Diego,M,"$170,000","$170,000.00",2015
VAN,Kah,Pa Modou,D,"$170,000","$170,000.00",2015
CLB,Francis,Waylon,D,"$144,000","$170,166.67",2015
KC,Lopez,Mikey,M,"$100,000","$172,000.00",2015
SEA,Mears,Tyrone,D,"$165,000","$174,000.00",2015
DC,Espindola,Fabian,F,"$175,000","$175,000.00",2015
LA,Gordon,Alan,F,"$175,000","$175,000.00",2015
CLB,Meram,Justin,F,"$165,000","$175,000.00",2015
VAN,Dean,Christian,D,"$95,000","$176,000.00",2015
TOR,Morrow,Justin,D,"$170,000","$179,562.50",2015
PHI,Casey,Conor,F,"$180,000","$180,000.00",2015
COL,LaBrocca,Nick,M,"$160,000","$180,000.00",2015
DAL,Watson,Jevaughn,M-D,"$160,000","$180,000.00",2015
DAL,Zimmerman,Walker,D,"$100,000","$180,100.00",2015
RSL,Schuler,Chris,D,"$165,000","$182,000.00",2015
HOU,Bruin,Will,F,"$140,000","$185,000.00",2015
DAL,Escobar,Rolando,M,"$180,000","$185,000.00",2015
NYCFC,Hernandez,Jason,D,"$175,000","$185,000.00",2015
CLB,Clark,Steve,GK,"$170,000","$188,333.33",2015
ORL,Ashe,Corey,M,"$180,000","$189,750.00",2015
POR,Wallace,Rodney,M-D,"$165,000","$190,000.00",2015
KC,de Jong,Marcel,D,"$180,000","$191,500.00",2015
LA,Rogers,Robbie,F,"$175,000","$191,666.67",2015
TOR,Goncalves,Jackson,D,"$165,000","$192,500.00",2015
NE,Nguyen,Lee,M/F,"$175,000","$193,750.00",2015
KC,Myers,Chance,D-M,"$170,000","$195,000.00",2015
CLB,Tchani,Tony,M,"$170,000","$195,000.00",2015
DAL,Loyd,Zach,M,"$175,000","$196,666.67",2015
VAN,Beitashour,Steven,D,"$190,000","$197,166.67",2015
ORL,Winter,Adrian,M,"$180,000","$198,333.33",2015
NE,Farrell,Andrew,D,"$117,500","$198,500.00",2015
MTL,Mapp,Justin,M,"$186,725","$199,225.00",2015
DC,Boswell,Bobby,D,"$200,000","$200,000.00",2015
MTL,Duka,Dilaver,M,"$175,000","$200,000.00",2015
NYRB,Miller,Roy,M,"$200,000","$200,000.00",2015
POR,Urruti,Maximiliano,F,"$200,000","$200,000.04",2015
